"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 09 19:25:49 GMT 2023","Mon Oct 09 19:26:00 GMT 2023","11128","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) [3] MENS, Camo Down Vest",""
"passed","Mon Oct 09 19:25:13 GMT 2023","Mon Oct 09 19:25:49 GMT 2023","35868","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) [3] MENS, Camo Down Vest",""
"passed","Mon Oct 09 19:25:14 GMT 2023","Mon Oct 09 19:25:49 GMT 2023","35519","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) [1] HATS, Brown Brim",""
"passed","Mon Oct 09 19:25:52 GMT 2023","Mon Oct 09 19:26:06 GMT 2023","13280","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) [2] JACKETS, Black Jean Shearling",""
"broken","Mon Oct 09 19:26:00 GMT 2023","Mon Oct 09 19:26:42 GMT 2023","42499","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) [5] WOMENS, Blue Tanktop",""
"passed","Mon Oct 09 19:25:50 GMT 2023","Mon Oct 09 19:26:00 GMT 2023","9995","","com.iamalexvybornyi.playwright.test.project.NavigationTest","","com.iamalexvybornyi.playwright.test.project.NavigationTest","navigateToHome","navigateToHome()",""
"passed","Mon Oct 09 19:25:59 GMT 2023","Mon Oct 09 19:26:11 GMT 2023","11441","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) [4] SNEAKERS, Adidas NMD",""
"passed","Mon Oct 09 19:25:13 GMT 2023","Mon Oct 09 19:25:47 GMT 2023","33133","","com.iamalexvybornyi.playwright.test.project.NavigationTest","","com.iamalexvybornyi.playwright.test.project.NavigationTest","navigateToSignIn","navigateToSignIn()",""
"passed","Mon Oct 09 19:26:00 GMT 2023","Mon Oct 09 19:26:11 GMT 2023","11253","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) [4] SNEAKERS, Adidas NMD",""
"passed","Mon Oct 09 19:25:13 GMT 2023","Mon Oct 09 19:25:50 GMT 2023","36376","","com.iamalexvybornyi.playwright.test.project.LoginTest","","com.iamalexvybornyi.playwright.test.project.LoginTest","loginWithExistingAccount","loginWithExistingAccount(Account) [1] Account(displayName=Test, email=test+1@mail.com, password=TestPassword)",""
"passed","Mon Oct 09 19:25:49 GMT 2023","Mon Oct 09 19:26:00 GMT 2023","11444","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) [2] JACKETS, Black Jean Shearling",""
"passed","Mon Oct 09 19:25:13 GMT 2023","Mon Oct 09 19:25:52 GMT 2023","39040","","com.iamalexvybornyi.playwright.test.project.LoginTest","","com.iamalexvybornyi.playwright.test.project.LoginTest","signUpWithNewAccount","signUpWithNewAccount()",""
"passed","Mon Oct 09 19:25:13 GMT 2023","Mon Oct 09 19:25:49 GMT 2023","35476","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) [1] HATS, Brown Brim",""
"passed","Mon Oct 09 19:26:00 GMT 2023","Mon Oct 09 19:26:11 GMT 2023","10962","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) [5] WOMENS, Blue Tanktop",""
"passed","Mon Oct 09 19:25:48 GMT 2023","Mon Oct 09 19:25:59 GMT 2023","11037","","com.iamalexvybornyi.playwright.test.project.NavigationTest","","com.iamalexvybornyi.playwright.test.project.NavigationTest","navigateToShop","navigateToShop()",""
