"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 01 16:26:01 GMT 2023","Wed Nov 01 16:26:12 GMT 2023","10534","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) addProductToCartFromShop_MENS_Camo Down Vest",""
"passed","Wed Nov 01 16:25:11 GMT 2023","Wed Nov 01 16:25:57 GMT 2023","45390","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) addProductToCartFromShop_SNEAKERS_Adidas NMD",""
"passed","Wed Nov 01 16:25:56 GMT 2023","Wed Nov 01 16:26:09 GMT 2023","12618","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) addProductToCartFromShop_JACKETS_Black Jean Shearling",""
"passed","Wed Nov 01 16:26:09 GMT 2023","Wed Nov 01 16:26:20 GMT 2023","11332","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) addProductToCartFromCategory_SNEAKERS_Adidas NMD",""
"passed","Wed Nov 01 16:25:11 GMT 2023","Wed Nov 01 16:25:49 GMT 2023","37996","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) addProductToCartFromCategory_HATS_Brown Brim",""
"passed","Wed Nov 01 16:25:11 GMT 2023","Wed Nov 01 16:25:56 GMT 2023","44721","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) addProductToCartFromShop_HATS_Brown Brim",""
"passed","Wed Nov 01 16:25:11 GMT 2023","Wed Nov 01 16:25:48 GMT 2023","37091","","org.iamalexvybornyi.playwright.test.project.NavigationTest","","org.iamalexvybornyi.playwright.test.project.NavigationTest","navigateToHome","navigateToHome()",""
"passed","Wed Nov 01 16:25:11 GMT 2023","Wed Nov 01 16:25:48 GMT 2023","37047","","org.iamalexvybornyi.playwright.test.project.NavigationTest","","org.iamalexvybornyi.playwright.test.project.NavigationTest","navigateToSignIn","navigateToSignIn()",""
"passed","Wed Nov 01 16:25:49 GMT 2023","Wed Nov 01 16:26:01 GMT 2023","12699","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) addProductToCartFromCategory_JACKETS_Black Jean Shearling",""
"passed","Wed Nov 01 16:26:10 GMT 2023","Wed Nov 01 16:26:21 GMT 2023","10697","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) addProductToCartFromCategory_WOMENS_Blue Tanktop",""
"broken","Wed Nov 01 16:25:11 GMT 2023","Wed Nov 01 16:26:13 GMT 2023","61217","","org.iamalexvybornyi.playwright.test.project.LoginTest","","org.iamalexvybornyi.playwright.test.project.LoginTest","signUpWithNewAccount","signUpWithNewAccount()",""
"passed","Wed Nov 01 16:25:49 GMT 2023","Wed Nov 01 16:26:00 GMT 2023","10750","","org.iamalexvybornyi.playwright.test.project.NavigationTest","","org.iamalexvybornyi.playwright.test.project.NavigationTest","navigateToShop","navigateToShop()",""
"passed","Wed Nov 01 16:25:57 GMT 2023","Wed Nov 01 16:26:10 GMT 2023","13716","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) addProductToCartFromShop_WOMENS_Blue Tanktop",""
"passed","Wed Nov 01 16:26:00 GMT 2023","Wed Nov 01 16:26:16 GMT 2023","16815","","org.iamalexvybornyi.playwright.test.project.LoginTest","","org.iamalexvybornyi.playwright.test.project.LoginTest","loginWithExistingAccount","loginWithExistingAccount(Account) loginWithExistingAccount_Account(displayName=Test, email=test+1@mail.com, password=TestPassword)",""
"passed","Wed Nov 01 16:25:49 GMT 2023","Wed Nov 01 16:26:01 GMT 2023","11688","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","","org.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) addProductToCartFromCategory_MENS_Camo Down Vest",""
