"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 10 16:54:00 GMT 2023","Tue Oct 10 16:54:07 GMT 2023","7344","","com.iamalexvybornyi.playwright.test.project.NavigationTest","","com.iamalexvybornyi.playwright.test.project.NavigationTest","navigateToShop","navigateToShop()",""
"passed","Tue Oct 10 16:53:31 GMT 2023","Tue Oct 10 16:54:01 GMT 2023","30202","","com.iamalexvybornyi.playwright.test.project.LoginTest","","com.iamalexvybornyi.playwright.test.project.LoginTest","loginWithExistingAccount","loginWithExistingAccount(Account) loginWithExistingAccount_Account(displayName=Test, email=test+1@mail.com, password=TestPassword)",""
"passed","Tue Oct 10 16:54:00 GMT 2023","Tue Oct 10 16:54:08 GMT 2023","8304","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) addProductToCartFromShop_JACKETS_Black Jean Shearling",""
"passed","Tue Oct 10 16:53:31 GMT 2023","Tue Oct 10 16:53:59 GMT 2023","28147","","com.iamalexvybornyi.playwright.test.project.NavigationTest","","com.iamalexvybornyi.playwright.test.project.NavigationTest","navigateToSignIn","navigateToSignIn()",""
"passed","Tue Oct 10 16:53:31 GMT 2023","Tue Oct 10 16:54:00 GMT 2023","29486","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) addProductToCartFromShop_HATS_Brown Brim",""
"passed","Tue Oct 10 16:54:07 GMT 2023","Tue Oct 10 16:54:17 GMT 2023","9639","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) addProductToCartFromShop_SNEAKERS_Adidas NMD",""
"passed","Tue Oct 10 16:53:31 GMT 2023","Tue Oct 10 16:54:00 GMT 2023","29824","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) addProductToCartFromShop_MENS_Camo Down Vest",""
"passed","Tue Oct 10 16:54:01 GMT 2023","Tue Oct 10 16:54:09 GMT 2023","8245","","com.iamalexvybornyi.playwright.test.project.NavigationTest","","com.iamalexvybornyi.playwright.test.project.NavigationTest","navigateToHome","navigateToHome()",""
"passed","Tue Oct 10 16:53:31 GMT 2023","Tue Oct 10 16:54:00 GMT 2023","29411","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) addProductToCartFromCategory_HATS_Brown Brim",""
"passed","Tue Oct 10 16:54:00 GMT 2023","Tue Oct 10 16:54:09 GMT 2023","9142","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) addProductToCartFromCategory_MENS_Camo Down Vest",""
"passed","Tue Oct 10 16:54:03 GMT 2023","Tue Oct 10 16:54:14 GMT 2023","10885","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) addProductToCartFromCategory_JACKETS_Black Jean Shearling",""
"passed","Tue Oct 10 16:54:09 GMT 2023","Tue Oct 10 16:54:17 GMT 2023","8985","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) addProductToCartFromShop_WOMENS_Blue Tanktop",""
"passed","Tue Oct 10 16:54:09 GMT 2023","Tue Oct 10 16:54:18 GMT 2023","9364","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) addProductToCartFromCategory_WOMENS_Blue Tanktop",""
"passed","Tue Oct 10 16:53:31 GMT 2023","Tue Oct 10 16:54:03 GMT 2023","32824","","com.iamalexvybornyi.playwright.test.project.LoginTest","","com.iamalexvybornyi.playwright.test.project.LoginTest","signUpWithNewAccount","signUpWithNewAccount()",""
"passed","Tue Oct 10 16:54:09 GMT 2023","Tue Oct 10 16:54:18 GMT 2023","8879","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) addProductToCartFromCategory_SNEAKERS_Adidas NMD",""
