"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 20 17:21:14 GMT 2023","Fri Oct 20 17:21:27 GMT 2023","12778","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) addProductToCartFromCategory_HATS_Brown Brim",""
"passed","Fri Oct 20 17:21:27 GMT 2023","Fri Oct 20 17:21:36 GMT 2023","9175","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) addProductToCartFromCategory_MENS_Camo Down Vest",""
"passed","Fri Oct 20 17:21:14 GMT 2023","Fri Oct 20 17:21:27 GMT 2023","12666","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) addProductToCartFromCategory_JACKETS_Black Jean Shearling",""
"passed","Fri Oct 20 17:20:42 GMT 2023","Fri Oct 20 17:21:15 GMT 2023","33183","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) addProductToCartFromShop_MENS_Camo Down Vest",""
"passed","Fri Oct 20 17:20:42 GMT 2023","Fri Oct 20 17:21:14 GMT 2023","31366","","com.iamalexvybornyi.playwright.test.project.NavigationTest","","com.iamalexvybornyi.playwright.test.project.NavigationTest","navigateToSignIn","navigateToSignIn()",""
"passed","Fri Oct 20 17:21:15 GMT 2023","Fri Oct 20 17:21:28 GMT 2023","12322","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) addProductToCartFromShop_JACKETS_Black Jean Shearling",""
"passed","Fri Oct 20 17:21:26 GMT 2023","Fri Oct 20 17:21:36 GMT 2023","9565","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) addProductToCartFromShop_SNEAKERS_Adidas NMD",""
"passed","Fri Oct 20 17:21:27 GMT 2023","Fri Oct 20 17:21:36 GMT 2023","8990","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) addProductToCartFromCategory_SNEAKERS_Adidas NMD",""
"passed","Fri Oct 20 17:21:27 GMT 2023","Fri Oct 20 17:21:37 GMT 2023","9278","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) addProductToCartFromShop_WOMENS_Blue Tanktop",""
"passed","Fri Oct 20 17:21:14 GMT 2023","Fri Oct 20 17:21:26 GMT 2023","12312","","com.iamalexvybornyi.playwright.test.project.LoginTest","","com.iamalexvybornyi.playwright.test.project.LoginTest","loginWithExistingAccount","loginWithExistingAccount(Account) loginWithExistingAccount_Account(displayName=Test, email=test+1@mail.com, password=TestPassword)",""
"passed","Fri Oct 20 17:21:15 GMT 2023","Fri Oct 20 17:21:27 GMT 2023","12415","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromShop","addProductToCartFromShop(Category, String) addProductToCartFromShop_HATS_Brown Brim",""
"passed","Fri Oct 20 17:20:42 GMT 2023","Fri Oct 20 17:21:13 GMT 2023","31247","","com.iamalexvybornyi.playwright.test.project.NavigationTest","","com.iamalexvybornyi.playwright.test.project.NavigationTest","navigateToShop","navigateToShop()",""
"passed","Fri Oct 20 17:20:42 GMT 2023","Fri Oct 20 17:21:14 GMT 2023","31369","","com.iamalexvybornyi.playwright.test.project.NavigationTest","","com.iamalexvybornyi.playwright.test.project.NavigationTest","navigateToHome","navigateToHome()",""
"passed","Fri Oct 20 17:20:42 GMT 2023","Fri Oct 20 17:21:19 GMT 2023","36481","","com.iamalexvybornyi.playwright.test.project.LoginTest","","com.iamalexvybornyi.playwright.test.project.LoginTest","signUpWithNewAccount","signUpWithNewAccount()",""
"passed","Fri Oct 20 17:20:42 GMT 2023","Fri Oct 20 17:21:15 GMT 2023","32847","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","","com.iamalexvybornyi.playwright.test.project.AddToCartTest","addProductToCartFromCategory","addProductToCartFromCategory(Category, String) addProductToCartFromCategory_WOMENS_Blue Tanktop",""
